rating,kast,impact,firepower,kpr,apr,dpr,kd,adr,0kpr,1kpr,2kpr,3kpr,4kpr,5kpr
0.98,71,0.93,26,0.598783127596092,0.19,0.6703913882876031,0.8931843965442011,68.5,0.5766688117943017,0.2847949452992453,0.1070028666705669,0.026560580354531096,0.004563271514655122,0.00040952436669981865
1.11,71.5,1.11,63,0.7079852990310725,0.12,0.6218676912796525,1.1384822028206851,72.2,0.518543267624457,0.309221516872703,0.1259605746742399,0.03875709989976612,0.0070163715335783495,0.0005011693952555964
1.06,70.1,1.09,62,0.6999577335222894,0.11,0.6283284851197136,1.113999683444128,72.3,0.5277094055344224,0.29897317321797073,0.12781880112379104,0.03731881355510803,0.0075085154521269985,0.0006712911165808906
1.09,73.1,1.12,63,0.6849376558603492,0.17,0.6706733167082294,1.0212686844649363,75.7,0.5351122194513716,0.2966583541147132,0.12438902743142144,0.03680798004987531,0.006084788029925187,0.0009476309226932668
1.02,71.2,0.94,46,0.6543291913083926,0.15,0.6611070503023456,0.9897477133380239,71.9,0.5468137417768623,0.2986909429197953,0.11602099807296166,0.03129776064854808,0.006179812612133697,0.0009967439696989832
0.93,71.2,0.97,33,0.6114864864864865,0.17,0.6504914004914005,0.9400377714825306,71.3,0.5686169123669124,0.2904381654381654,0.10700757575757576,0.029125716625716627,0.004402129402129402,0.0004095004095004095
1.01,71.6,1.05,61,0.6805705332980649,0.15,0.6574765499420107,1.0351251818153684,75.3,0.5353327771786681,0.29944859299652066,0.12226585549474027,0.035912670152806886,0.006429690520275907,0.000610413656988219
1.08,72.4,1.06,61,0.6765777488614183,0.18,0.6649967469095641,1.0174151257215536,76,0.5413142485361093,0.29316851008458034,0.12186076772934287,0.035849056603773584,0.006896551724137931,0.0009108653220559532
1.13,71.5,1.17,67,0.7126322938479823,0.12,0.615739430641236,1.1573601728020588,73.9,0.518959760031694,0.30593129209349706,0.12819061633369178,0.03828739600430132,0.007697096609881713,0.0009338389269341785
1.08,71.6,1.06,57,0.6973158195316962,0.12,0.6085094231867504,1.1459408728296574,71.1,0.5215591090805254,0.3108223872073101,0.12435750999428898,0.035551113649343234,0.0074243289548829245,0.00028555111364934324
