rating,kast,impact,firepower,kpr,apr,dpr,kd,adr,0kpr,1kpr,2kpr,3kpr,4kpr,5kpr
0.98,71,0.93,26,0.598783127596092,0.19,0.6703913882876031,0.8931843965442011,68.5,0.5766688117943017,0.2847949452992453,0.1070028666705669,0.026560580354531096,0.004563271514655122,0.00040952436669981865
1.11,71.5,1.11,63,0.7079852990310725,0.12,0.6218676912796525,1.1384822028206851,72.2,0.518543267624457,0.309221516872703,0.1259605746742399,0.03875709989976612,0.0070163715335783495,0.0005011693952555964
1.09,70.2,1.09,61,0.6986713808247935,0.1,0.6230146672927658,1.1214364885834627,71.8,0.5270005248183852,0.30061044664806785,0.12758611164820596,0.03693064110709057,0.007264591332210038,0.0006076844460403834
1.09,73.1,1.12,63,0.6849376558603492,0.17,0.6706733167082294,1.0212686844649363,75.7,0.5351122194513716,0.2966583541147132,0.12438902743142144,0.03680798004987531,0.006084788029925187,0.0009476309226932668
1.02,71.2,0.94,46,0.6543291913083926,0.15,0.6611070503023456,0.9897477133380239,71.9,0.5468137417768623,0.2986909429197953,0.11602099807296166,0.03129776064854808,0.006179812612133697,0.0009967439696989832
1.01,71.2,0.97,31,0.6063651591289783,0.17,0.6495920462527692,0.9334553318915322,70.9,0.5712433133408981,0.2897552277516615,0.10547360458205003,0.02885394715513049,0.004268655103474361,0.00040525206678554063
1.07,71.7,1.05,59,0.6753572673405368,0.15,0.6555594283722551,1.030199914929817,75,0.5368653421633555,0.29980248634832113,0.12162193563378645,0.035018008597653076,0.006204252352736145,0.0004879749041477867
1.08,72.4,1.06,61,0.6765777488614183,0.18,0.6649967469095641,1.0174151257215536,76,0.5413142485361093,0.29316851008458034,0.12186076772934287,0.035849056603773584,0.006896551724137931,0.0009108653220559532
1.12,71.5,1.17,66,0.7092705882352941,0.12,0.6144941176470589,1.1542349517537143,73.4,0.521443137254902,0.3046274509803922,0.1268078431372549,0.038337254901960785,0.007905882352941176,0.0008784313725490196
1.09,72.3,1.11,66,0.6880180532048779,0.19,0.6680987718613027,1.0298148749594025,77.3,0.5310506444473376,0.3009156793820249,0.1254610944755457,0.03471770168814824,0.007247320227400946,0.0006075597795425942
